member,costume,type
東村芽依,2016.winter-07.08.09(ひらがなけやき),07
東村芽依,2016.winter-07.08.09(ひらがなけやき),08
東村芽依,2016.winter-07.08.09(ひらがなけやき),09
東村芽依,2017.spring-01.02.03(ひらがなけやき),01
東村芽依,2017.spring-01.02.03(ひらがなけやき),02
東村芽依,2017.spring-01.02.03(ひらがなけやき),03
東村芽依,2017.spring-07.08.09(有明ワンマンクリスマス衣装),07
東村芽依,2017.spring-07.08.09(有明ワンマンクリスマス衣装),08
東村芽依,2017.spring-07.08.09(有明ワンマンクリスマス衣装),09
東村芽依,2017.spring-13.14.15(3rdシングルオフィシャル制服衣装（誰よりも高く跳べ衣装）),13
東村芽依,2017.spring-13.14.15(3rdシングルオフィシャル制服衣装（誰よりも高く跳べ衣装）),14
東村芽依,2017.spring-13.14.15(3rdシングルオフィシャル制服衣装（誰よりも高く跳べ衣装）),15
東村芽依,2017. summer –13.14.15(W-KEYAKIZAKAの詩　MV衣装),13
東村芽依,2017. summer –13.14.15(W-KEYAKIZAKAの詩　MV衣装),14
東村芽依,2017. summer –13.14.15(W-KEYAKIZAKAの詩　MV衣装),15
東村芽依,2017.autumn-04.05.06(ひらがなTシャツ衣装),04
東村芽依,2017.autumn-04.05.06(ひらがなTシャツ衣装),05
東村芽依,2017.autumn-04.05.06(ひらがなTシャツ衣装),06
東村芽依,2018.winter-09.10.11.12(それでも歩いてるMV衣装),09
東村芽依,2018.winter-09.10.11.12(それでも歩いてるMV衣装),10
東村芽依,2018.winter-09.10.11.12(それでも歩いてるMV衣装),11
東村芽依,2018.winter-09.10.11.12(それでも歩いてるMV衣装),12
東村芽依,2018.winter-13.14.15.16(5thシングルJK制服衣装),13
東村芽依,2018.winter-13.14.15.16(5thシングルJK制服衣装),14
東村芽依,2018.winter-13.14.15.16(5thシングルJK制服衣装),15
東村芽依,2018.winter-13.14.15.16(5thシングルJK制服衣装),16
東村芽依,2018.winter-17.18.19.20(ジャージ衣装),17
東村芽依,2018.winter-17.18.19.20(ジャージ衣装),18
東村芽依,2018.winter-17.18.19.20(ジャージ衣装),19
東村芽依,2018.winter-17.18.19.20(ジャージ衣装),20
東村芽依,2018.spring-05.06.07.08(アーティスト写真衣装),05
東村芽依,2018.spring-05.06.07.08(アーティスト写真衣装),06
東村芽依,2018.spring-05.06.07.08(アーティスト写真衣装),07
東村芽依,2018.spring-05.06.07.08(アーティスト写真衣装),08
東村芽依,2018.summer-01.02.03.04(6thシングル制服衣装),01
東村芽依,2018.summer-01.02.03.04(6thシングル制服衣装),02
東村芽依,2018.summer-01.02.03.04(6thシングル制服衣装),03
東村芽依,2018.summer-01.02.03.04(6thシングル制服衣装),04
東村芽依,2018.summer-05.06.07.08(イマニミテイロMV衣装),05
東村芽依,2018.summer-05.06.07.08(イマニミテイロMV衣装),06
