member,costume,type
上村莉菜,2016.spring-01.02.03(結成時初制服衣装),01
上村莉菜,2016.spring-01.02.03(結成時初制服衣装),02
上村莉菜,2016.spring-01.02.03(結成時初制服衣装),03
上村莉菜,2016.spring-04.05.06(制服のマネキン衣装),04
上村莉菜,2016.spring-04.05.06(制服のマネキン衣装),05
上村莉菜,2016.spring-04.05.06(制服のマネキン衣装),06
上村莉菜,2016.summer-01.02.03(サイレントマジョリティー衣装),01
上村莉菜,2016.summer-01.02.03(サイレントマジョリティー衣装),02
上村莉菜,2016.summer-01.02.03(サイレントマジョリティー衣装),03
上村莉菜,2016.summer-04.05.06(2ndシングルジャケット衣装),04
上村莉菜,2016.summer-04.05.06(2ndシングルジャケット衣装),05
上村莉菜,2016.summer-04.05.06(2ndシングルジャケット衣装),06
上村莉菜,2016.winter-01.02.03(語るなら未来を…制服衣装),01
上村莉菜,2016.winter-01.02.03(語るなら未来を…制服衣装),02
上村莉菜,2016.winter-01.02.03(語るなら未来を…制服衣装),03
上村莉菜,2016.winter-04.05.06(サイレントマジョリティー歌衣装),04
上村莉菜,2016.winter-04.05.06(サイレントマジョリティー歌衣装),05
上村莉菜,2016.winter-04.05.06(サイレントマジョリティー歌衣装),06
上村莉菜,2017.spring-04.05.06(有明ワンマンクリスマス衣装),04
上村莉菜,2017.spring-04.05.06(有明ワンマンクリスマス衣装),05
上村莉菜,2017.spring-04.05.06(有明ワンマンクリスマス衣装),06
上村莉菜,2017.spring-10.11.12(二人セゾン衣装),10
上村莉菜,2017.spring-10.11.12(二人セゾン衣装),11
上村莉菜,2017.spring-10.11.12(二人セゾン衣装),12
上村莉菜,2017.summer-01.02.03(大人は信じてくれないMV衣装),01
上村莉菜,2017.summer-01.02.03(大人は信じてくれないMV衣装),02
上村莉菜,2017.summer-01.02.03(大人は信じてくれないMV衣装),03
上村莉菜,2017.summer-04.05.06(二人セゾンTV出演時衣装),04
上村莉菜,2017.summer-04.05.06(二人セゾンTV出演時衣装),05
上村莉菜,2017.summer-04.05.06(二人セゾンTV出演時衣装),06
上村莉菜,2017.summer-07.08.09(NHK紅白歌合戦歌衣装),07
上村莉菜,2017.summer-07.08.09(NHK紅白歌合戦歌衣装),08
上村莉菜,2017.summer-07.08.09(NHK紅白歌合戦歌衣装),09
上村莉菜,2017.summer-10.11.12(W-KEYAKIZAKAの詩　MV衣装),10
上村莉菜,2017.summer-10.11.12(W-KEYAKIZAKAの詩　MV衣装),11
上村莉菜,2017.summer-10.11.12(W-KEYAKIZAKAの詩　MV衣装),12
上村莉菜,2017.autumn-01.02.03(1stアルバムJK写真衣装),01
上村莉菜,2017.autumn-01.02.03(1stアルバムJK写真衣装),02
上村莉菜,2017.autumn-01.02.03(1stアルバムJK写真衣装),03
上村莉菜,2017.autumn-07.08.09(エキセントリックMV衣装),07
上村莉菜,2017.autumn-07.08.09(エキセントリックMV衣装),08
上村莉菜,2017.autumn-07.08.09(エキセントリックMV衣装),09
上村莉菜,2018.winter-01.02.03.04(5thシングルスーツ衣装),01
上村莉菜,2018.winter-01.02.03.04(5thシングルスーツ衣装),02
上村莉菜,2018.winter-01.02.03.04(5thシングルスーツ衣装),03
上村莉菜,2018.winter-01.02.03.04(5thシングルスーツ衣装),04
上村莉菜,2018.winter-05.06.07.08(避雷針MV衣装),05
上村莉菜,2018.winter-05.06.07.08(避雷針MV衣装),06
上村莉菜,2018.winter-05.06.07.08(避雷針MV衣装),07
上村莉菜,2018.winter-05.06.07.08(避雷針MV衣装),08
上村莉菜,2018.spring-01.02.03.04(ジャージ衣装),01
上村莉菜,2018.spring-01.02.03.04(ジャージ衣装),02
上村莉菜,2018.spring-01.02.03.04(ジャージ衣装),03
上村莉菜,2018.spring-01.02.03.04(ジャージ衣装),04
上村莉菜,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),09
上村莉菜,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),10
上村莉菜,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),11
上村莉菜,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),12
上村莉菜,2018.autumn-01.02.03.04(6thオフィシャル制服),01
上村莉菜,2018.autumn-01.02.03.04(6thオフィシャル制服),02
上村莉菜,2018.autumn-01.02.03.04(6thオフィシャル制服),03
上村莉菜,2018.autumn-01.02.03.04(6thオフィシャル制服),04
上村莉菜,2018.autumn-05.06.07.08(もう森へ帰ろうか？MV衣装),05
上村莉菜,2018.autumn-05.06.07.08(もう森へ帰ろうか？MV衣装),06
上村莉菜,2018.autumn-05.06.07.08(もう森へ帰ろうか？MV衣装),07
上村莉菜,2018.autumn-05.06.07.08(もう森へ帰ろうか？MV衣装),08
上村莉菜,2019.spring-01.02.03.04(2nd YEAR ANNIVERSARY LIVE衣装),01
上村莉菜,2019.spring-01.02.03.04(2nd YEAR ANNIVERSARY LIVE衣装),02
上村莉菜,2019.spring-01.02.03.04(2nd YEAR ANNIVERSARY LIVE衣装),03
上村莉菜,2019.spring-01.02.03.04(2nd YEAR ANNIVERSARY LIVE衣装),04
上村莉菜,2019.spring-05.06.07.08(クリスマス衣装),05
上村莉菜,2019.spring-05.06.07.08(クリスマス衣装),06
上村莉菜,2019.spring-05.06.07.08(クリスマス衣装),07
上村莉菜,2019.spring-05.06.07.08(クリスマス衣装),08
上村莉菜,2019.spring-09.10.11.12(アンビバレント衣装),09
上村莉菜,2019.spring-09.10.11.12(アンビバレント衣装),10
上村莉菜,2019.spring-09.10.11.12(アンビバレント衣装),11
上村莉菜,2019.spring-09.10.11.12(アンビバレント衣装),12
上村莉菜,2019.spring-21.22.23.24(振り袖衣装),21
上村莉菜,2019.spring-21.22.23.24(振り袖衣装),22
上村莉菜,2019.spring-21.22.23.24(振り袖衣装),23
上村莉菜,2019.spring-21.22.23.24(振り袖衣装),24
上村莉菜,2019.summer-01.02.03.04(春の私服コーディネート衣装),01
上村莉菜,2019.summer-01.02.03.04(春の私服コーディネート衣装),02
上村莉菜,2019.summer-01.02.03.04(春の私服コーディネート衣装),03
上村莉菜,2019.summer-01.02.03.04(春の私服コーディネート衣装),04
上村莉菜,2019.summer-09.10.11.12(欅共和国2018制服衣装),09
上村莉菜,2019.summer-09.10.11.12(欅共和国2018制服衣装),10
上村莉菜,2019.summer-09.10.11.12(欅共和国2018制服衣装),11
上村莉菜,2019.summer-09.10.11.12(欅共和国2018制服衣装),12
上村莉菜,2019.summer-13.14.15.16(アウトドア衣装),13
上村莉菜,2019.summer-13.14.15.16(アウトドア衣装),14
上村莉菜,2019.summer-13.14.15.16(アウトドア衣装),15
上村莉菜,2019.summer-13.14.15.16(アウトドア衣装),16
上村莉菜,2019.summer-17.18.19.20(欅共和国2018Tシャツ衣装),17
上村莉菜,2019.summer-17.18.19.20(欅共和国2018Tシャツ衣装),18
上村莉菜,2019.summer-17.18.19.20(欅共和国2018Tシャツ衣装),19
上村莉菜,2019.summer-17.18.19.20(欅共和国2018Tシャツ衣装),20
上村莉菜,2019.summer-21.22.23.24(雨の日コーディネート衣装),21
上村莉菜,2019.summer-21.22.23.24(雨の日コーディネート衣装),22
上村莉菜,2019.summer-21.22.23.24(雨の日コーディネート衣装),23
上村莉菜,2019.summer-21.22.23.24(雨の日コーディネート衣装),24
上村莉菜,2019.summer-61.62.63.64(『黒い羊』ジャケット衣装),61
上村莉菜,2019.summer-61.62.63.64(『黒い羊』ジャケット衣装),62
上村莉菜,2019.summer-61.62.63.64(『黒い羊』ジャケット衣装),63
上村莉菜,2019.summer-61.62.63.64(『黒い羊』ジャケット衣装),64
上村莉菜,2019.summer-65.66.67.68(『Nobody』MV衣装),65
上村莉菜,2019.summer-65.66.67.68(『Nobody』MV衣装),66
上村莉菜,2019.summer-65.66.67.68(『Nobody』MV衣装),67
上村莉菜,2019.summer-65.66.67.68(『Nobody』MV衣装),68
上村莉菜,2019.autumn-01.02.03.04(Student Dance MV衣装),01
上村莉菜,2019.autumn-01.02.03.04(Student Dance MV衣装),02
上村莉菜,2019.autumn-01.02.03.04(Student Dance MV衣装),03
上村莉菜,2019.autumn-01.02.03.04(Student Dance MV衣装),04
上村莉菜,2019.autumn-05.06.07.08(浴衣衣装),05
上村莉菜,2019.autumn-05.06.07.08(浴衣衣装),06
上村莉菜,2019.autumn-05.06.07.08(浴衣衣装),07
上村莉菜,2019.autumn-05.06.07.08(浴衣衣装),08
上村莉菜,2020.spring-01.02.03.04(2019夏フェス衣装),01
上村莉菜,2020.spring-01.02.03.04(2019夏フェス衣装),02
上村莉菜,2020.spring-01.02.03.04(2019夏フェス衣装),03
上村莉菜,2020.spring-01.02.03.04(2019夏フェス衣装),04
上村莉菜,2020.spring-05.06.07.08(2019マーブルハーネス衣装),05
上村莉菜,2020.spring-05.06.07.08(2019マーブルハーネス衣装),06
上村莉菜,2020.spring-05.06.07.08(2019マーブルハーネス衣装),07
上村莉菜,2020.spring-05.06.07.08(2019マーブルハーネス衣装),08
上村莉菜,2020.spring-09.10.11.12(東京ドームサイマジョマント衣装),09
上村莉菜,2020.spring-09.10.11.12(東京ドームサイマジョマント衣装),10
上村莉菜,2020.spring-09.10.11.12(東京ドームサイマジョマント衣装),11
上村莉菜,2020.spring-09.10.11.12(東京ドームサイマジョマント衣装),12
上村莉菜,2020.summer-01.02.03.04(欅共和国2019制服衣装),01
上村莉菜,2020.summer-01.02.03.04(欅共和国2019制服衣装),02
上村莉菜,2020.summer-01.02.03.04(欅共和国2019制服衣装),03
上村莉菜,2020.summer-01.02.03.04(欅共和国2019制服衣装),04
上村莉菜,2020.summer-05.06.07.08(2019ツアースーツ衣装),05
上村莉菜,2020.summer-05.06.07.08(2019ツアースーツ衣装),06
上村莉菜,2020.summer-05.06.07.08(2019ツアースーツ衣装),07
上村莉菜,2020.summer-05.06.07.08(2019ツアースーツ衣装),08
上村莉菜,2020.summer-13.14.15.16(誰がその鐘を鳴らすのか？衣装),13
上村莉菜,2020.summer-13.14.15.16(誰がその鐘を鳴らすのか？衣装),14
上村莉菜,2020.summer-13.14.15.16(誰がその鐘を鳴らすのか？衣装),15
上村莉菜,2020.summer-13.14.15.16(誰がその鐘を鳴らすのか？衣装),16
上村莉菜,2020.summer-17.18.19.20(紅白2019シンクロニシティ衣装),17
上村莉菜,2020.summer-17.18.19.20(紅白2019シンクロニシティ衣装),18
上村莉菜,2020.summer-17.18.19.20(紅白2019シンクロニシティ衣装),19
上村莉菜,2020.summer-17.18.19.20(紅白2019シンクロニシティ衣装),20
上村莉菜,2020.summer-21.22.23.24(浴衣衣装),21
上村莉菜,2020.summer-21.22.23.24(浴衣衣装),22
上村莉菜,2020.summer-21.22.23.24(浴衣衣装),23
上村莉菜,2020.summer-21.22.23.24(浴衣衣装),24
上村莉菜,2020.autumn-13.14.15.16(Live Online, but with YOU! 衣装),13
上村莉菜,2020.autumn-13.14.15.16(Live Online, but with YOU! 衣装),14
上村莉菜,2020.autumn-13.14.15.16(Live Online, but with YOU! 衣装),15
上村莉菜,2020.autumn-13.14.15.16(Live Online, but with YOU! 衣装),16
上村莉菜,2020.autumn-17.18.19.20(紅白2019オープニング 衣装),17
上村莉菜,2020.autumn-17.18.19.20(紅白2019オープニング 衣装),18
上村莉菜,2020.autumn-17.18.19.20(紅白2019オープニング 衣装),19
上村莉菜,2020.autumn-17.18.19.20(紅白2019オープニング 衣装),20
上村莉菜,2020.autumn-21.22.23.24(紅白2019『不協和音』衣装),21
上村莉菜,2020.autumn-21.22.23.24(紅白2019『不協和音』衣装),22
上村莉菜,2020.autumn-21.22.23.24(紅白2019『不協和音』衣装),23
上村莉菜,2020.autumn-21.22.23.24(紅白2019『不協和音』衣装),24
上村莉菜,2020.autumn-25.26.27.28(秋の私服コーディネート衣装),25
上村莉菜,2020.autumn-25.26.27.28(秋の私服コーディネート衣装),26
上村莉菜,2020.autumn-25.26.27.28(秋の私服コーディネート衣装),27
上村莉菜,2020.autumn-25.26.27.28(秋の私服コーディネート衣装),28
上村莉菜,Nobody’s fault衣装,ヨリ
上村莉菜,Nobody’s fault衣装,チュウ
上村莉菜,Nobody’s fault衣装,ヒキ
上村莉菜,Nobody’s fault衣装,座り
上村莉菜,冬私服コーディネート衣装,ヨリ
上村莉菜,冬私服コーディネート衣装,チュウ
上村莉菜,冬私服コーディネート衣装,ヒキ
上村莉菜,冬私服コーディネート衣装,座り
上村莉菜,クリスマスサンタ衣装,ヨリ
上村莉菜,クリスマスサンタ衣装,チュウ
上村莉菜,クリスマスサンタ衣装,ヒキ
上村莉菜,クリスマスサンタ衣装,座り
上村莉菜,2021年振袖衣装,ヨリ
上村莉菜,2021年振袖衣装,チュウ
上村莉菜,2021年振袖衣装,ヒキ
上村莉菜,2021年振袖衣装,座り
上村莉菜,「Buddies」MVロケーション衣装,ヨリ
上村莉菜,「Buddies」MVロケーション衣装,チュウ
上村莉菜,「Buddies」MVロケーション衣装,ヒキ
上村莉菜,「Buddies」MVロケーション衣装,座り
上村莉菜,「Nobody’s fault」カップリング楽曲TVパフォーマンス衣装,ヨリ
上村莉菜,「Nobody’s fault」カップリング楽曲TVパフォーマンス衣装,チュウ
上村莉菜,「Nobody’s fault」カップリング楽曲TVパフォーマンス衣装,ヒキ
上村莉菜,「Nobody’s fault」カップリング楽曲TVパフォーマンス衣装,座り
上村莉菜,2020年歌番組衣装,ヨリ
上村莉菜,2020年歌番組衣装,チュウ
上村莉菜,2020年歌番組衣装,ヒキ
上村莉菜,2020年歌番組衣装,座り
上村莉菜,ラストライブ Day1衣装（欅表記）,ヨリ
上村莉菜,ラストライブ Day1衣装（欅表記）,チュウ
上村莉菜,ラストライブ Day1衣装（欅表記）,ヒキ
上村莉菜,ラストライブ Day1衣装（欅表記）,座り
上村莉菜,ラストライブ Day2衣装（欅表記）,ヨリ
上村莉菜,ラストライブ Day2衣装（欅表記）,チュウ
上村莉菜,ラストライブ Day2衣装（欅表記）,ヒキ
上村莉菜,ラストライブ Day2衣装（欅表記）,座り
上村莉菜,「BACKS LIVE!!」メインビジュアル用私服衣装,ヨリ
