member,costume,type
長沢菜々香,2016.spring-01.02.03(結成時初制服衣装),01
長沢菜々香,2016.spring-01.02.03(結成時初制服衣装),02
長沢菜々香,2016.spring-01.02.03(結成時初制服衣装),03

長沢菜々香,2016.spring-04.05.06(制服のマネキン衣装),04
長沢菜々香,2016.spring-04.05.06(制服のマネキン衣装),05
長沢菜々香,2016.spring-04.05.06(制服のマネキン衣装),06

長沢菜々香,2016.summer-01.02.03(サイレントマジョリティー衣装),01
長沢菜々香,2016.summer-01.02.03(サイレントマジョリティー衣装),02
長沢菜々香,2016.summer-01.02.03(サイレントマジョリティー衣装),03

長沢菜々香,2016.summer-04.05.06(2ndシングルジャケット衣装),04
長沢菜々香,2016.summer-04.05.06(2ndシングルジャケット衣装),05
長沢菜々香,2016.summer-04.05.06(2ndシングルジャケット衣装),06

長沢菜々香,2016.winter-01.02.03(語るなら未来を…制服衣装),01
長沢菜々香,2016.winter-01.02.03(語るなら未来を…制服衣装),02
長沢菜々香,2016.winter-01.02.03(語るなら未来を…制服衣装),03

長沢菜々香,2016.winter-04.05.06(サイレントマジョリティー歌衣装),04
長沢菜々香,2016.winter-04.05.06(サイレントマジョリティー歌衣装),05
長沢菜々香,2016.winter-04.05.06(サイレントマジョリティー歌衣装),06
長沢菜々香,2017.spring-04.05.06(有明ワンマンクリスマス衣装),04
長沢菜々香,2017.spring-04.05.06(有明ワンマンクリスマス衣装),05
長沢菜々香,2017.spring-04.05.06(有明ワンマンクリスマス衣装),06

長沢菜々香,2017.spring-10.11.12(二人セゾン衣装),10
長沢菜々香,2017.spring-10.11.12(二人セゾン衣装),11
長沢菜々香,2017.spring-10.11.12(二人セゾン衣装),12

長沢菜々香,2017.summer-01.02.03(大人は信じてくれないMV衣装),01
長沢菜々香,2017.summer-01.02.03(大人は信じてくれないMV衣装),02
長沢菜々香,2017.summer-01.02.03(大人は信じてくれないMV衣装),03

長沢菜々香,2017.summer-04.05.06(二人セゾンTV出演時衣装),04
長沢菜々香,2017.summer-04.05.06(二人セゾンTV出演時衣装),05
長沢菜々香,2017.summer-04.05.06(二人セゾンTV出演時衣装),06

長沢菜々香,2017.summer-07.08.09(NHK紅白歌合戦歌衣装),07
長沢菜々香,2017.summer-07.08.09(NHK紅白歌合戦歌衣装),08
長沢菜々香,2017.summer-07.08.09(NHK紅白歌合戦歌衣装),09

長沢菜々香,2017.summer-10.11.12(W-KEYAKIZAKAの詩　MV衣装),10
長沢菜々香,2017.summer-10.11.12(W-KEYAKIZAKAの詩　MV衣装),11
長沢菜々香,2017.summer-10.11.12(W-KEYAKIZAKAの詩　MV衣装),12

長沢菜々香,2017.autumn-01.02.03(1stアルバムJK写真衣装),01
長沢菜々香,2017.autumn-01.02.03(1stアルバムJK写真衣装),02
長沢菜々香,2017.autumn-01.02.03(1stアルバムJK写真衣装),03

長沢菜々香,2017.autumn-07.08.09(エキセントリックMV衣装),07
長沢菜々香,2017.autumn-07.08.09(エキセントリックMV衣装),08
長沢菜々香,2017.autumn-07.08.09(エキセントリックMV衣装),09
長沢菜々香,2018.winter-01.02.03.04(5thシングルスーツ衣装),01
長沢菜々香,2018.winter-01.02.03.04(5thシングルスーツ衣装),02
長沢菜々香,2018.winter-01.02.03.04(5thシングルスーツ衣装),03
長沢菜々香,2018.winter-01.02.03.04(5thシングルスーツ衣装),04

長沢菜々香,2018.winter-05.06.07.08(避雷針MV衣装),05
長沢菜々香,2018.winter-05.06.07.08(避雷針MV衣装),06
長沢菜々香,2018.winter-05.06.07.08(避雷針MV衣装),07
長沢菜々香,2018.winter-05.06.07.08(避雷針MV衣装),08

長沢菜々香,2018.spring-01.02.03.04(ジャージ衣装),01
長沢菜々香,2018.spring-01.02.03.04(ジャージ衣装),02
長沢菜々香,2018.spring-01.02.03.04(ジャージ衣装),03
長沢菜々香,2018.spring-01.02.03.04(ジャージ衣装),04

長沢菜々香,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),09
長沢菜々香,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),10
長沢菜々香,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),11
長沢菜々香,2018.summer-09.10.11.12(ガラスを割れ！MV衣装),12

長沢菜々香,2018.Autumn-01.02.03.04(6thオフィシャル制服),01
長沢菜々香,2018.Autumn-01.02.03.04(6thオフィシャル制服),02
長沢菜々香,2018.Autumn-01.02.03.04(6thオフィシャル制服),03
長沢菜々香,2018.Autumn-01.02.03.04(6thオフィシャル制服),04

長沢菜々香,2018.Autumn-05.06.07.08(もう森へ帰ろうか？MV衣装),05
